"Time","Patch","Age","myID","momID","dadID","Mate"
121,1,8,2919201,2662805,2448103,2664496
122,1,17,2739110,2408215,2091271,1796244
122,1,9,2930564,2683246,2254808,2936764
122,1,14,2809067,2189200,1490080,2666633
122,1,9,2933462,2643650,2165245,2775932
122,1,18,2707502,2457366,2232440,2701587
122,1,13,2828774,2285499,2268065,2665212
123,1,15,2801406,2270394,2202129,2776730
123,1,12,2885019,2588194,2271770,2694332
123,1,13,2842760,2212175,2220089,2632275
123,1,21,2655669,2129778,1847735,2655903
123,1,15,2808898,2555854,2569065,2339312
123,1,19,2698075,2491561,2276221,2625981
123,1,8,2972437,2617909,2566773,2904501
123,1,34,2333108,2017586,1940004,2326243
123,1,9,2954232,2586988,2336380,2920060
123,1,12,2886135,2609635,2494691,2531942
123,1,9,2945557,2493814,2393685,2716590
124,1,14,2860542,2600259,2531772,2801583
124,1,11,2923920,2561156,2440933,2658655
124,1,16,2807291,2413523,2230356,2207205
124,1,8,2991188,2229100,2154234,2925356
124,1,24,2611744,2377701,2008136,2607989
124,1,16,2799687,2576468,2437980,2711400
125,1,25,2610677,2199512,1902563,2530078
125,1,19,2754179,2388259,2265108,2703684
125,1,15,2847924,2470407,2311161,2387210
125,1,17,2804959,2515024,2308668,2804328
125,1,26,2587229,2200732,2073144,2115739
125,1,9,2993218,2674942,2668800,2961751
125,1,14,2870148,2652150,2507024,2251300
125,1,16,2826128,2149810,1975085,2733462
125,1,20,2723742,2514060,1372120,2387210
125,1,11,2945921,2606099,2203396,2838323
125,1,17,2800936,2536712,1895061,2515786
125,1,15,2847524,2419953,2400943,2576163
125,1,28,2526993,1999042,1372024,2237946
125,1,50,1984583,1391238,1190853,1644751
126,1,39,2277662,1870007,1839511,1650791
126,1,14,2902606,2486420,2088434,2781283
126,1,12,2956427,2175539,2182492,2433219
126,1,14,2899353,2646915,2431873,2863240
126,1,19,2787327,2501515,2390636,2758031
126,1,15,2884800,2625134,2170243,2773307
126,1,11,2974064,2621151,2525335,2692198
126,1,21,2730496,2382663,1687186,2744596
126,1,22,2696840,2497616,2050771,2558182
126,1,10,2983407,2634056,2563554,2911435
127,1,16,2874886,2031368,1656337,2815187
127,1,14,2914390,2469291,2365934,2463844
127,1,16,2867454,2474758,2437259,2230356
127,1,14,2933851,2566163,2404445,2646365
127,1,12,2961749,2731270,2600784,2584655
127,1,8,3057985,2800166,2812858,3062410
127,1,13,2958835,2746264,2762155,2690108
127,1,8,3056137,2402274,2408603,2947754
127,1,16,2867112,2314725,2085864,2540822
127,1,9,3036125,2674911,2683104,2690227
127,1,10,3025116,2737462,2400943,2864236
127,1,10,3008084,2667058,2404226,3021243
128,1,39,2327298,2084279,1884098,2231965
128,1,31,2532954,2217848,1594775,2239777
128,1,20,2800054,2456502,2468774,2412223
128,1,8,3076458,2818106,2613384,2832493
128,1,12,2996748,2141814,1727285,2972218
128,1,39,2327886,1715930,29803,2305602
128,1,16,2892532,2272571,2248136,2354669
128,1,27,2644809,2432397,2086661,2544291
128,1,10,3050753,2864972,2773307,2892909
128,1,10,3047974,2822669,2611752,2971891
128,1,23,2731270,2436470,2401960,2600784
128,1,9,3061547,2800585,2410280,2976053
129,1,20,2832699,2433522,2425079,2658637
129,1,20,2825723,2467823,2438947,2817704
129,1,12,3016937,2759600,2644691,2994495
129,1,30,2589673,2269904,2066961,2136831
129,1,11,3034025,2257191,1780402,2841185
129,1,17,2912777,2697678,2683154,2510242
129,1,16,2930293,2575709,2590642,2819661
129,1,26,2671573,2386004,1967022,2421200
129,1,21,2815376,2237286,2093153,2429020
129,1,14,2975159,2758815,2611743,2601904
129,1,8,3116863,2891926,2572314,2386067
129,1,9,3095801,2677750,1842050,2668011
129,1,9,3092400,2487215,2435831,3081893
129,1,21,2816820,2359599,2066310,2700139
130,1,19,2884425,2621650,2193885,2873586
130,1,45,2223840,1076482,910478,1541562
130,1,9,3105908,2895261,2801371,3112260
130,1,15,2979456,2152944,1631334,2947240
130,1,10,3094553,2741711,2728277,2905174
130,1,9,3107756,2229100,2154234,3108257
130,1,11,3061375,2698793,2631421,2597603
130,1,12,3044079,2810754,2610102,2903734
130,1,9,3115095,2348090,1604755,3023826
130,1,25,2733345,2302736,1650791,2696262
130,1,15,2977765,2641712,2456619,2951645
130,1,8,3134736,2806745,2705255,2520292
131,1,8,3161315,2740814,2493881,3111035
131,1,12,3072439,2787327,2758031,2789815
131,1,20,2871266,2356000,2203924,2816469
131,1,8,3147929,2829078,2830458,2650914
131,1,9,3133370,2877347,2122391,2529540
131,1,9,3144399,2946364,2854709,2894326
131,1,14,3028399,2822669,2611752,2683292
132,1,11,3112266,2850434,2491459,3092349
132,1,8,3170428,2980606,2474214,3007995
132,1,12,3086988,2798975,2345490,2653329
132,1,10,3123389,2880988,2828760,3027564
132,1,19,2930768,2586988,2336380,2913448
132,1,21,2873833,2579885,2407528,2621727
132,1,10,3132230,2519752,2476706,3094079
132,1,10,3138869,2896552,2426299,3118709
132,1,28,2705246,2217848,1594775,1494454
132,1,9,3160897,2374872,1929778,2830577
132,1,13,3057445,2829018,2809654,2877028
132,1,18,2941388,2461272,2464698,2907640
132,1,10,3140994,2910300,2894137,3123658
133,1,25,2810754,2312545,2214703,2610102
133,1,8,3213270,2998715,2985559,2999420
133,1,11,3138927,2777718,2540822,2676655
133,1,22,2870537,2652225,2662473,2781447
133,1,8,3197727,2775626,2491619,3049004
133,1,8,3204323,2952233,2536347,3036179
133,1,10,3159579,2833100,2614882,3085400
133,1,11,3127057,2804959,2804328,2759819
133,1,30,2678480,2151240,1797304,2321518
133,1,9,3181382,2974462,2593135,3186916
133,1,23,2851845,2581283,2416163,2545713
133,1,19,2959784,2759139,2507024,2605070
133,1,12,3118280,2353857,2321392,3036216
134,1,12,3134516,2922350,2788964,3101274
134,1,12,3125757,2866537,2752372,2730648
134,1,13,3111929,2120367,2026819,2961751
134,1,20,2945649,2012440,1817954,2667103
134,1,10,3180523,2939753,2708016,2755293
134,1,13,3103233,2800054,2412223,3059136
134,1,26,2813782,2399272,2310455,2554657
134,1,25,2830228,2585697,2457850,2808530
134,1,17,3023079,2641712,2456619,2922182
134,1,39,2488480,1981917,1866632,1488319
134,1,10,3180765,2690055,2624064,2794091
135,1,19,3001417,2741711,2728277,2822133
135,1,18,3019743,2748767,2654911,2653254
135,1,28,2777329,2392641,1906167,2712679
135,1,34,2626682,2350199,2082788,2598930
135,1,13,3131214,2805814,2790272,3080376
135,1,9,3224781,2787635,2217030,2448459
135,1,22,2934257,2692099,2558891,2681005
135,1,17,3031992,2710632,2358119,2902440
135,1,8,3260253,3034025,2841185,3250409
135,1,14,3105392,2410573,1508208,2977262
135,1,33,2660663,2061305,1937616,2382478
135,1,28,2774203,1666754,1600705,1765889
135,1,8,3258620,2566155,1487484,3073903
