"Time","Patch","Age","myID","momID","dadID"
115,1,2,2923316,2715803,2084023
115,1,2,2933267,2600985,1406597
115,1,2,2933681,2401540,2133910
115,1,4,2882825,2140576,1932159
115,1,2,2928038,1870757,1578783
115,1,2,2936638,2744523,2532397
115,1,2,2918614,2518678,2406506
116,1,3,2920395,2634544,2290019
116,1,3,2932586,1653522,1619987
116,1,3,2934006,2666178,1780402
116,1,2,2941708,2716596,2511323
116,1,2,2955041,2673360,2657958
116,1,2,2950470,2543112,2205070
116,1,3,2922867,2581224,2546971
116,1,2,2944726,2524934,2225673
116,1,2,2954377,2503028,2474007
116,1,2,2955576,2281301,1946492
117,1,3,2946797,2684238,2617319
117,1,4,2926229,2571948,1987342
117,1,4,2930606,2061919,1647850
117,1,3,2937594,2729159,2706449
117,1,5,2899242,2306919,1752825
117,1,3,2957361,2566163,2404445
117,1,2,2982200,2794085,1416312
117,1,2,2963009,2744839,2354043
117,1,2,2974116,2728101,2668906
117,1,2,2964916,2710647,2202129
117,1,2,2979964,2542336,2443367
117,1,2,2980286,2654933,2493881
117,1,3,2944482,2674911,2683104
117,1,2,2977946,2660323,2668763
118,1,4,2945425,2720861,2540066
118,1,3,2982410,2786687,2729329
118,1,2,2991948,2215063,2016114
118,1,2,2997241,2660192,1928599
118,1,2,2983878,2554429,2555993
118,1,2,2987775,2546423,2479496
118,1,4,2939323,2304505,1184468
118,1,3,2973938,2402975,2251020
118,1,2,2986455,2540440,1802063
118,1,2,2992633,2715803,2084023
118,1,2,2990770,2658013,2369151
118,1,3,2960391,2047991,1712365
118,1,2,2995228,2537724,2227066
118,1,3,2973491,2659886,2623494
118,1,2,2985067,2532954,2239777
118,1,2,2983332,2521686,2406751
119,1,4,2980774,2794004,2508952
119,1,3,2995928,2788989,2614567
119,1,3,2992691,2787977,2659711
119,1,2,3014914,2806059,2635868
119,1,3,2994484,2641906,2306584
119,1,3,3002007,2784215,2661773
119,1,3,3005487,2815367,1947712
119,1,3,2984228,2589673,2136831
119,1,2,3011192,2781362,2445376
119,1,2,3024895,2090878,2048772
119,1,4,2975167,2758815,2611743
119,1,6,2924607,2213195,2117534
119,1,2,3028891,2822895,2603704
120,1,4,2998738,2726000,2367328
120,1,3,3024232,2625134,2170243
120,1,2,3050206,2834396,2749649
120,1,2,3044584,2783342,2764936
120,1,2,3037974,2792730,2787947
120,1,4,2988648,2393663,2388845
120,1,5,2981482,2782529,2387210
120,1,2,3044657,2726000,2367328
121,1,4,3020475,2807291,2207205
121,1,3,3033721,2668274,2510470
121,1,2,3059202,2830228,2808530
121,1,3,3036003,2423913,2364437
121,1,4,3014651,2789592,2118345
121,1,6,2963741,2625787,2581544
121,1,2,3065939,2818245,2702981
