"Time","Patch","Age","myID","momID","dadID","Mate"
511,118,12,45389424,44450973,43907069,45202160
511,121,12,45429370,44398596,44135633,44618270
511,121,20,44730281,41558804,41361282,43326917
511,121,63,40724340,39912049,39459521,40526682
511,121,8,45777170,43717712,42360327,45358396
511,124,20,44656422,43473469,43195452,44467012
511,127,9,45703157,41989670,40669533,44485294
511,127,10,45620091,41453738,41362085,45154202
511,130,30,43740537,42460153,40136885,43107588
511,130,22,44462903,43639721,43264987,43366105
511,130,14,45229945,42753298,40714092,41835335
511,130,9,45674625,44203278,41214023,45580919
511,175,25,44199329,40530700,37973547,42989295
511,175,17,44965386,41337036,40616245,44789197
511,178,13,45357824,44518799,43651468,44982004
511,178,20,44639245,41956947,41787801,41692590
511,178,10,45603642,44665108,44460767,44843216
511,178,11,45513706,44189445,40375888,44874198
511,178,8,45786842,44595231,43931647,45346206
511,178,15,45130083,42890206,39475581,43663142
511,178,21,44587906,41814433,41103076,42868675
511,178,8,45792109,45058995,44903615,45791880
511,178,11,45513508,44024757,43285986,43340093
511,181,12,45436214,44415452,41618853,45131940
511,181,15,45156323,44408602,44217513,43756187
511,181,20,44675729,42502755,40181194,42898178
511,184,23,44440874,40922067,40276237,43704560
511,187,9,45714150,44797821,43736828,45350299
511,187,24,44332428,41609836,41419996,43597850
511,187,11,45533520,44229551,43970361,44249065
511,187,9,45699503,43381738,42554464,45169338
511,232,28,43937634,42838306,42193987,43587329
511,232,11,45545366,43869290,43575392,45370275
511,232,16,45100027,42416426,42323375,44730318
511,232,62,40767740,39941567,37153567,39516819
511,232,15,45129953,44292256,42095634,44392989
511,232,15,45170113,44309653,42337137,44694744
511,235,17,44985404,42110413,40744796,44108269
511,235,26,44154716,42778251,42694379,42879580
511,235,8,45801642,43960402,43056731,45711332
511,235,12,45438624,44140308,42404479,44527072
511,235,11,45513024,42439277,42351039,45513073
511,235,48,42131752,39926103,39366674,41546899
511,238,44,42433810,41033420,41033356,41236175
511,238,12,45427414,44152530,44152342,44467828
511,238,14,45287027,44263162,44171085,44638765
511,238,10,45609085,44687018,44304459,45522626
511,241,13,45369257,43786793,43330186,45275681
511,241,11,45532021,43263642,42891237,45279499
511,241,16,45070009,43776009,42959216,43949960
511,241,22,44483084,43189227,42380540,44384377
511,244,26,44102213,42802032,42662360,44102031
511,244,12,45461461,44717978,44718131,44351600
511,244,22,44510733,41136107,36393331,44411731
511,244,15,45179433,43496267,43229346,44807487
511,289,9,45739115,39378259,37740912,45649391
511,289,8,45814449,44877220,42117488,44798806
511,289,9,45738552,44724890,43707237,43782771
511,292,33,43503053,42023566,42023484,43424555
511,292,29,43861592,41861870,40964077,42824975
511,292,12,45429730,44032560,42725972,45238427
511,292,20,44671224,43377547,42903900,43914559
511,295,28,43985648,42849743,42756430,41717338
511,298,32,43611710,41674396,38769022,42962756
511,298,11,45549741,43320332,41232302,45188169
511,298,16,45098437,44349801,44072016,44818709
511,298,12,45431868,44419459,41747105,45133027
511,298,11,45543106,41553549,40824385,45364270
511,298,11,45566140,41801077,41324388,45377259
511,298,9,45712567,43927907,43650335,45564541
511,301,20,44662721,43002082,42725893,43745467
511,301,10,45623798,44605693,44004499,44014078
511,301,11,45544465,42850117,40881294,45544296
514,61,11,45791233,42111408,40187078,44608690
514,61,19,45026523,43441277,41646880,44267594
514,61,10,45841212,45109427,44042495,44643018
514,61,8,46037555,45217385,44861092,45947454
514,61,10,45861047,43808304,42155554,45691342
514,61,51,42084048,41165634,40793276,41718555
514,61,24,44592785,43661183,43187196,43091345
514,64,15,45395487,43898605,42803638,43998053
514,64,25,44455980,43447743,42923218,44176407
514,64,12,45659343,43987933,43065979,44835303
514,64,17,45263014,44120495,43290721,44412422
514,67,19,45053292,42273456,41902110,43567127
514,67,30,44005475,41313398,40946530,41694516
514,67,10,45872850,44951011,43651289,44357352
514,67,17,45207046,44459037,43159474,42973229
